review_id,product_id,customer_id,rating,review_title,review_text,reviewed_at
1,1,3,5,Outstanding audio,"LogiTech Audio 01: The sound quality is outstanding with crisp highs and deep bass: 5 stars",2026-01-05 10:22:00
2,1,17,4,Great everyday audio,"LogiTech Audio 01: Great audio for everyday use and the setup was quick: 4 stars",2026-01-12 14:35:00
3,1,29,3,Decent but overpriced,"LogiTech Audio 01: Decent audio performance but expected more at this price: 3 stars",2026-01-20 09:14:00
4,1,42,5,Perfect for home office,"LogiTech Audio 01: Perfect for my home office with crystal clear sound all day: 5 stars",2026-02-01 17:48:00
5,1,55,2,Disappointing quality,"LogiTech Audio 01: Volume control stopped working after two weeks very disappointed: 2 stars",2026-02-08 08:15:00
6,1,11,4,Good value,"LogiTech Audio 01: Good value for an audio product in this range would buy again: 4 stars",2026-02-14 11:40:00
7,1,34,5,Best audio I own,"LogiTech Audio 01: Best audio product I have ever owned the brand really delivers: 5 stars",2026-02-20 16:05:00
8,1,48,3,Average performance,"LogiTech Audio 01: Average audio performance nothing exceptional but gets the job done: 3 stars",2026-02-25 12:30:00
9,2,7,5,Great budget storage,"NetBolt Storage 02: Excellent budget storage with consistently fast read speeds: 5 stars",2026-01-03 09:45:00
10,2,22,4,Reliable storage,"NetBolt Storage 02: Reliable and compact has worked flawlessly for three months: 4 stars",2026-01-15 14:20:00
11,2,36,3,Decent not amazing,"NetBolt Storage 02: Not the fastest storage but solid value for everyday backups: 3 stars",2026-01-22 08:35:00
12,2,50,5,Plug and play,"NetBolt Storage 02: Setup was completely plug and play simple and seamless: 5 stars",2026-02-02 16:10:00
13,2,14,2,Near data loss,"NetBolt Storage 02: Had a near data loss event after one month not confident in reliability: 2 stars",2026-02-09 10:50:00
14,2,28,4,Works everywhere,"NetBolt Storage 02: Compact design and works seamlessly across all my devices: 4 stars",2026-02-16 13:25:00
15,2,43,5,Exceeded expectations,"NetBolt Storage 02: Exceeded my expectations for the price with fast writes: 5 stars",2026-02-22 07:15:00
16,2,57,4,Solid budget option,"NetBolt Storage 02: Solid storage for the budget tier and it feels durable: 4 stars",2026-02-28 18:40:00
17,3,5,5,Incredible clarity,"KeyForge Audio 03: Incredible audio clarity right out of the box really nailed it: 5 stars",2026-01-06 11:30:00
18,3,19,4,Rich warm sound,"KeyForge Audio 03: Sound profile is rich and warm great for music and calls: 4 stars",2026-01-14 15:45:00
19,3,33,3,Good not great,"KeyForge Audio 03: Good audio overall but connection can be unreliable at range: 3 stars",2026-01-21 09:55:00
20,3,47,5,Best in class,"KeyForge Audio 03: Best in class audio for this price range I recommend it to everyone: 5 stars",2026-02-03 17:20:00
21,3,6,1,Stopped working,"KeyForge Audio 03: Stopped working after five days and support was very slow: 1 stars",2026-02-10 08:35:00
22,3,20,4,Solid quality,"KeyForge Audio 03: Solid audio quality and the design looks premium happy with it: 4 stars",2026-02-17 12:10:00
23,3,35,5,Great daily audio,"KeyForge Audio 03: Great for everyday audio use easy setup and consistent sound: 5 stars",2026-02-23 16:50:00
24,3,54,3,Mixed feelings,"KeyForge Audio 03: Sound is good but the build quality feels cheap for the price: 3 stars",2026-03-01 10:25:00
25,4,9,5,Perfect accessory,"LogiTech Accessories 04: Perfect addition to my desk setup accessories always deliver: 5 stars",2026-01-04 13:20:00
26,4,23,4,Solid pick,"LogiTech Accessories 04: Solid accessory that fits my workflow and works great: 4 stars",2026-01-16 16:40:00
27,4,37,4,Great value,"LogiTech Accessories 04: Great value for an accessory does exactly what I need: 4 stars",2026-01-24 10:15:00
28,4,51,2,Feels cheap,"LogiTech Accessories 04: Feels cheaply made for the price expected better quality: 2 stars",2026-02-04 14:30:00
29,4,15,5,Highly recommended,"LogiTech Accessories 04: Highly recommended fits perfectly on my desk and improves workflow: 5 stars",2026-02-11 09:45:00
30,4,30,3,Gets job done,"LogiTech Accessories 04: Gets the job done but nothing special average quality: 3 stars",2026-02-18 13:50:00
31,4,45,5,Love it,"LogiTech Accessories 04: Love this accessory very well built and easy to use: 5 stars",2026-02-24 17:15:00
32,4,59,4,Good everyday pick,"LogiTech Accessories 04: Good everyday accessory nice packaging and arrived quickly: 4 stars",2026-03-01 11:00:00
33,5,2,5,Excellent speed,"LogiTech Storage 05: Excellent read and write speeds really impressed with this storage: 5 stars",2026-01-07 10:35:00
34,5,16,4,Reliable and fast,"LogiTech Storage 05: Reliable and fast has handled all my large file transfers: 4 stars",2026-01-18 14:55:00
35,5,31,3,Expected more,"LogiTech Storage 05: Decent performance but expected more at this price point: 3 stars",2026-01-25 09:20:00
36,5,46,5,Best storage yet,"LogiTech Storage 05: Best storage device I have bought seamless setup and fast: 5 stars",2026-02-05 17:40:00
